"TimeCreated","EventID","Message"
"20/07/2025 22:27:03","11","File created:
RuleName: -
UtcTime: 2025-07-20 21:27:03.554
ProcessGuid: {7f6f9216-5f27-687d-a009-000000006901}
ProcessId: 7348
Image: C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe
TargetFilename: C:\Users\Shxro\AppData\Local\Temp\__PSScriptPolicyTest_mbhz5uux.ckm.ps1
CreationUtcTime: 2025-07-20 21:27:03.554
User: SHARON\Shxro"
"20/07/2025 22:27:03","1","Process Create:
RuleName: -
UtcTime: 2025-07-20 21:27:03.481
ProcessGuid: {7f6f9216-5f27-687d-a009-000000006901}
ProcessId: 7348
Image: C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe
FileVersion: 10.0.22621.3085 (WinBuild.160101.0800)
Description: Windows PowerShell
Product: Microsoft? Windows? Operating System
Company: Microsoft Corporation
OriginalFileName: PowerShell.EXE
CommandLine: powershell.exe -c gwmi win32_process -Filter 'ProcessId=24968 or ProcessId=18904' | select CreationDate,KernelModeTime,ParentProcessId,ProcessId,UserModeTime,WorkingSetSize | format-table
CurrentDirectory: C:\WINDOWS\system32\
User: SHARON\Shxro
LogonGuid: {7f6f9216-39c8-687d-7b7c-070000000000}
LogonId: 0x77C7B
TerminalSessionId: 1
IntegrityLevel: High
Hashes: MD5=61732DBA77466B624C014B67A1E1348E,SHA256=D4CC57797F43E2744E5F46CFB9E69DF2944D4C809A5FA93928F453E59076F0CD,IMPHASH=9F91C97560360686D37B0E311BB8BD64
ParentProcessGuid: {7f6f9216-39d9-687d-d001-000000006901}
ParentProcessId: 18904
ParentImage: C:\Program Files (x86)\ASUS\ArmouryDevice\asus_framework.exe
ParentCommandLine: ""C:\Program Files (x86)\ASUS\ArmouryDevice\asus_framework.exe"" --delay
ParentUser: SHARON\Shxro"
"20/07/2025 22:26:33","11","File created:
RuleName: -
UtcTime: 2025-07-20 21:26:33.540
ProcessGuid: {7f6f9216-5f09-687d-9e09-000000006901}
ProcessId: 18284
Image: C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe
TargetFilename: C:\Users\Shxro\AppData\Local\Temp\__PSScriptPolicyTest_0i1g2tdw.xrq.ps1
CreationUtcTime: 2025-07-20 21:26:33.540
User: SHARON\Shxro"
"20/07/2025 22:26:33","1","Process Create:
RuleName: -
UtcTime: 2025-07-20 21:26:33.466
ProcessGuid: {7f6f9216-5f09-687d-9e09-000000006901}
ProcessId: 18284
Image: C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe
FileVersion: 10.0.22621.3085 (WinBuild.160101.0800)
Description: Windows PowerShell
Product: Microsoft? Windows? Operating System
Company: Microsoft Corporation
OriginalFileName: PowerShell.EXE
CommandLine: powershell.exe -c gwmi win32_process -Filter 'ProcessId=24968 or ProcessId=18904' | select CreationDate,KernelModeTime,ParentProcessId,ProcessId,UserModeTime,WorkingSetSize | format-table
CurrentDirectory: C:\WINDOWS\system32\
User: SHARON\Shxro
LogonGuid: {7f6f9216-39c8-687d-7b7c-070000000000}
LogonId: 0x77C7B
TerminalSessionId: 1
IntegrityLevel: High
Hashes: MD5=61732DBA77466B624C014B67A1E1348E,SHA256=D4CC57797F43E2744E5F46CFB9E69DF2944D4C809A5FA93928F453E59076F0CD,IMPHASH=9F91C97560360686D37B0E311BB8BD64
ParentProcessGuid: {7f6f9216-39d9-687d-d001-000000006901}
ParentProcessId: 18904
ParentImage: C:\Program Files (x86)\ASUS\ArmouryDevice\asus_framework.exe
ParentCommandLine: ""C:\Program Files (x86)\ASUS\ArmouryDevice\asus_framework.exe"" --delay
ParentUser: SHARON\Shxro"
"20/07/2025 22:26:03","11","File created:
RuleName: -
UtcTime: 2025-07-20 21:26:03.630
ProcessGuid: {7f6f9216-5eeb-687d-9c09-000000006901}
ProcessId: 9872
Image: C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe
TargetFilename: C:\Users\Shxro\AppData\Local\Temp\__PSScriptPolicyTest_jw1xevgq.4bs.ps1
CreationUtcTime: 2025-07-20 21:26:03.630
User: SHARON\Shxro"
"20/07/2025 22:26:03","1","Process Create:
RuleName: -
UtcTime: 2025-07-20 21:26:03.452
ProcessGuid: {7f6f9216-5eeb-687d-9c09-000000006901}
ProcessId: 9872
Image: C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe
FileVersion: 10.0.22621.3085 (WinBuild.160101.0800)
Description: Windows PowerShell
Product: Microsoft? Windows? Operating System
Company: Microsoft Corporation
OriginalFileName: PowerShell.EXE
CommandLine: powershell.exe -c gwmi win32_process -Filter 'ProcessId=24968 or ProcessId=18904' | select CreationDate,KernelModeTime,ParentProcessId,ProcessId,UserModeTime,WorkingSetSize | format-table
CurrentDirectory: C:\WINDOWS\system32\
User: SHARON\Shxro
LogonGuid: {7f6f9216-39c8-687d-7b7c-070000000000}
LogonId: 0x77C7B
TerminalSessionId: 1
IntegrityLevel: High
Hashes: MD5=61732DBA77466B624C014B67A1E1348E,SHA256=D4CC57797F43E2744E5F46CFB9E69DF2944D4C809A5FA93928F453E59076F0CD,IMPHASH=9F91C97560360686D37B0E311BB8BD64
ParentProcessGuid: {7f6f9216-39d9-687d-d001-000000006901}
ParentProcessId: 18904
ParentImage: C:\Program Files (x86)\ASUS\ArmouryDevice\asus_framework.exe
ParentCommandLine: ""C:\Program Files (x86)\ASUS\ArmouryDevice\asus_framework.exe"" --delay
ParentUser: SHARON\Shxro"
"20/07/2025 22:25:33","11","File created:
RuleName: -
UtcTime: 2025-07-20 21:25:33.514
ProcessGuid: {7f6f9216-5ecd-687d-9409-000000006901}
ProcessId: 11924
Image: C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe
TargetFilename: C:\Users\Shxro\AppData\Local\Temp\__PSScriptPolicyTest_4z2j5toj.5eh.ps1
CreationUtcTime: 2025-07-20 21:25:33.514
User: SHARON\Shxro"
"20/07/2025 22:25:33","1","Process Create:
RuleName: -
UtcTime: 2025-07-20 21:25:33.439
ProcessGuid: {7f6f9216-5ecd-687d-9409-000000006901}
ProcessId: 11924
Image: C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe
FileVersion: 10.0.22621.3085 (WinBuild.160101.0800)
Description: Windows PowerShell
Product: Microsoft? Windows? Operating System
Company: Microsoft Corporation
OriginalFileName: PowerShell.EXE
CommandLine: powershell.exe -c gwmi win32_process -Filter 'ProcessId=24968 or ProcessId=18904' | select CreationDate,KernelModeTime,ParentProcessId,ProcessId,UserModeTime,WorkingSetSize | format-table
CurrentDirectory: C:\WINDOWS\system32\
User: SHARON\Shxro
LogonGuid: {7f6f9216-39c8-687d-7b7c-070000000000}
LogonId: 0x77C7B
TerminalSessionId: 1
IntegrityLevel: High
Hashes: MD5=61732DBA77466B624C014B67A1E1348E,SHA256=D4CC57797F43E2744E5F46CFB9E69DF2944D4C809A5FA93928F453E59076F0CD,IMPHASH=9F91C97560360686D37B0E311BB8BD64
ParentProcessGuid: {7f6f9216-39d9-687d-d001-000000006901}
ParentProcessId: 18904
ParentImage: C:\Program Files (x86)\ASUS\ArmouryDevice\asus_framework.exe
ParentCommandLine: ""C:\Program Files (x86)\ASUS\ArmouryDevice\asus_framework.exe"" --delay
ParentUser: SHARON\Shxro"
"20/07/2025 22:25:03","11","File created:
RuleName: -
UtcTime: 2025-07-20 21:25:03.509
ProcessGuid: {7f6f9216-5eaf-687d-8e09-000000006901}
ProcessId: 7984
Image: C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe
TargetFilename: C:\Users\Shxro\AppData\Local\Temp\__PSScriptPolicyTest_zftiwvd4.dlk.ps1
CreationUtcTime: 2025-07-20 21:25:03.509
User: SHARON\Shxro"
"20/07/2025 22:25:03","1","Process Create:
RuleName: -
UtcTime: 2025-07-20 21:25:03.434
ProcessGuid: {7f6f9216-5eaf-687d-8e09-000000006901}
ProcessId: 7984
Image: C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe
FileVersion: 10.0.22621.3085 (WinBuild.160101.0800)
Description: Windows PowerShell
Product: Microsoft? Windows? Operating System
Company: Microsoft Corporation
OriginalFileName: PowerShell.EXE
CommandLine: powershell.exe -c gwmi win32_process -Filter 'ProcessId=24968 or ProcessId=18904' | select CreationDate,KernelModeTime,ParentProcessId,ProcessId,UserModeTime,WorkingSetSize | format-table
CurrentDirectory: C:\WINDOWS\system32\
User: SHARON\Shxro
LogonGuid: {7f6f9216-39c8-687d-7b7c-070000000000}
LogonId: 0x77C7B
TerminalSessionId: 1
IntegrityLevel: High
Hashes: MD5=61732DBA77466B624C014B67A1E1348E,SHA256=D4CC57797F43E2744E5F46CFB9E69DF2944D4C809A5FA93928F453E59076F0CD,IMPHASH=9F91C97560360686D37B0E311BB8BD64
ParentProcessGuid: {7f6f9216-39d9-687d-d001-000000006901}
ParentProcessId: 18904
ParentImage: C:\Program Files (x86)\ASUS\ArmouryDevice\asus_framework.exe
ParentCommandLine: ""C:\Program Files (x86)\ASUS\ArmouryDevice\asus_framework.exe"" --delay
ParentUser: SHARON\Shxro"
